Dataset,Familia,Modelo,Tamaño,Semilla,Serializacion,Estrategia,Shots,Tiempo carga (s),Tiempo seleccion (s),Tiempo inferencia (s),Accuracy,Precision,Recall,F1-score,Muestras,Invalidas
Heart,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,27182,List,Zero-shot,0,11.29,0.0,0.3761,0.4,0.3333,0.8621,0.4808,90,0
Heart,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,11235,List,Zero-shot,0,11.29,0.0,0.3685,0.4222,0.3425,0.8621,0.4902,90,0
Heart,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,16180,List,Zero-shot,0,11.29,0.0,0.3676,0.3667,0.3158,0.8276,0.4571,90,0
Heart,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,27182,List,Few-shot,1,11.29,0.0022,0.3169,0.5556,0.4035,0.7931,0.5349,90,0
Heart,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,11235,List,Few-shot,1,11.29,0.002,0.3173,0.6111,0.4423,0.7931,0.5679,90,0
Heart,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,16180,List,Few-shot,1,11.29,0.0017,0.3171,0.5444,0.3889,0.7241,0.506,90,0
Heart,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,27182,List,Few-shot,2,11.29,0.002,0.3437,0.5556,0.4035,0.7931,0.5349,90,0
Heart,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,11235,List,Few-shot,2,11.29,0.0016,0.3446,0.4889,0.3768,0.8966,0.5306,90,0
Heart,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,16180,List,Few-shot,2,11.29,0.0021,0.3446,0.6111,0.4348,0.6897,0.5333,90,0
Heart,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,27182,List,Few-shot,4,11.29,0.0016,0.4236,0.6222,0.4444,0.6897,0.5405,90,0
Heart,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,11235,List,Few-shot,4,11.29,0.0021,0.4228,0.5556,0.4127,0.8966,0.5652,90,0
Heart,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,16180,List,Few-shot,4,11.29,0.002,0.4234,0.4667,0.339,0.6897,0.4545,90,0
