Dataset,Modelo,Semilla,Tiempo entrenamiento (s),Tiempo inferencia (s),Accuracy,Precision,Recall,F1-score
Heart,Árbol de decisión,27182,96.78081011772156,0.000732421875,0.8555555555555555,0.75,0.8275862068965517,0.7868852459016393
Heart,Árbol de decisión,11235,11.129047393798828,0.0007050037384033203,0.7222222222222222,0.5625,0.6206896551724138,0.5901639344262295
Heart,Árbol de decisión,16180,11.21160101890564,0.0006427764892578125,0.8,0.6410256410256411,0.8620689655172413,0.7352941176470589
Heart,Random Forest,27182,89.5727322101593,0.0027837753295898438,0.8666666666666667,0.7575757575757576,0.8620689655172413,0.8064516129032258
Heart,Random Forest,11235,89.70135521888733,0.013215303421020508,0.8222222222222222,0.782608695652174,0.6206896551724138,0.6923076923076923
Heart,Random Forest,16180,92.89274549484253,0.0026521682739257812,0.8444444444444444,0.7027027027027027,0.896551724137931,0.7878787878787878
Heart,XGBoost,27182,434.92467761039734,0.033147573471069336,0.8888888888888888,0.8518518518518519,0.7931034482758621,0.8214285714285714
Heart,XGBoost,11235,438.70107531547546,0.0022089481353759766,0.8,0.7619047619047619,0.5517241379310345,0.64
Heart,XGBoost,16180,436.4673628807068,0.002401590347290039,0.8333333333333334,0.7058823529411765,0.8275862068965517,0.7619047619047619
Cancer,Árbol de decisión,27182,10.825116395950317,0.0006470680236816406,0.6571428571428571,0.6,0.75,0.6666666666666666
Cancer,Árbol de decisión,11235,10.681220293045044,0.000637054443359375,0.6857142857142857,0.6470588235294118,0.6875,0.6666666666666666
Cancer,Árbol de decisión,16180,10.924929857254028,0.0006477832794189453,0.6285714285714286,0.5789473684210527,0.6875,0.6285714285714286
Cancer,Random Forest,27182,83.46198558807373,0.010210752487182617,0.6571428571428571,0.6,0.75,0.6666666666666666
Cancer,Random Forest,11235,83.09351229667664,0.0027306079864501953,0.6857142857142857,0.6470588235294118,0.6875,0.6666666666666666
Cancer,Random Forest,16180,84.138671875,0.0029256343841552734,0.6857142857142857,0.6666666666666666,0.625,0.6451612903225806
Cancer,XGBoost,27182,431.92604994773865,0.03254055976867676,0.7714285714285715,0.8235294117647058,0.7368421052631579,0.7777777777777778
Cancer,XGBoost,11235,434.67311906814575,0.03393721580505371,0.7428571428571429,0.75,0.7894736842105263,0.7692307692307693
Cancer,XGBoost,16180,434.0697295665741,0.03302168846130371,0.5714285714285714,0.5714285714285714,0.8421052631578947,0.6808510638297872
DIA,Árbol de decisión,27182,11.11371397972107,0.0006666183471679688,0.7,0.5588235294117647,0.6129032258064516,0.5846153846153846
DIA,Árbol de decisión,11235,11.139430522918701,0.0006661415100097656,0.6111111111111112,0.4716981132075472,0.78125,0.5882352941176471
DIA,Árbol de decisión,16180,10.948619365692139,0.0007507801055908203,0.6555555555555556,0.5151515151515151,0.53125,0.5230769230769231
DIA,Random Forest,27182,102.1044135093689,0.004359722137451172,0.7555555555555555,0.7142857142857143,0.4838709677419355,0.5769230769230769
DIA,Random Forest,11235,104.44161653518677,0.007567167282104492,0.6111111111111112,0.4716981132075472,0.78125,0.5882352941176471
DIA,Random Forest,16180,101.3059287071228,0.0026769638061523438,0.7444444444444445,0.6551724137931034,0.59375,0.6229508196721312
DIA,XGBoost,27182,436.8813462257385,0.03358864784240723,0.7555555555555555,0.7142857142857143,0.4838709677419355,0.5769230769230769
DIA,XGBoost,11235,437.1122748851776,0.0021805763244628906,0.7,0.5925925925925926,0.5,0.5423728813559322
DIA,XGBoost,16180,438.7326600551605,0.0024454593658447266,0.7444444444444445,0.7368421052631579,0.4375,0.5490196078431373
