Dataset,Familia,Modelo,Tamaño,Semilla,Serializacion,Estrategia,Shots,Tiempo carga (s),Tiempo seleccion (s),Tiempo inferencia (s),Accuracy,Precision,Recall,F1-score,Muestras,Invalidas
Heart,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,27182,List,Few-shot-rag,1,4.13,0.0,0.3232,0.5111,0.3729,0.7586,0.5,90,0
Heart,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,11235,List,Few-shot-rag,1,4.13,0.0,0.3172,0.6444,0.4694,0.7931,0.5897,90,0
Heart,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,16180,List,Few-shot-rag,1,4.13,0.0,0.3172,0.5111,0.377,0.7931,0.5111,90,0
Heart,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,27182,List,Few-shot-rag,2,4.13,0.0,0.3448,0.5889,0.4231,0.7586,0.5432,90,0
Heart,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,11235,List,Few-shot-rag,2,4.13,0.0,0.3456,0.6444,0.4681,0.7586,0.5789,90,0
Heart,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,16180,List,Few-shot-rag,2,4.13,0.0,0.3442,0.6222,0.4545,0.8621,0.5952,90,0
Heart,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,27182,List,Few-shot-rag,4,4.13,0.0,0.424,0.6778,0.5,0.7241,0.5915,90,0
Heart,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,11235,List,Few-shot-rag,4,4.13,0.0,0.4241,0.6889,0.5098,0.8966,0.65,90,0
Heart,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,16180,List,Few-shot-rag,4,4.13,0.0,0.4243,0.6222,0.4528,0.8276,0.5854,90,0
Heart,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,27182,List,Few-shot-rag,8,4.13,0.0,0.5689,0.6556,0.4762,0.6897,0.5634,90,0
Heart,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,11235,List,Few-shot-rag,8,4.13,0.0,0.5686,0.7111,0.5333,0.8276,0.6486,90,0
Heart,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,16180,List,Few-shot-rag,8,4.13,0.0,0.569,0.6556,0.4792,0.7931,0.5974,90,0
Heart,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,27182,Text,Few-shot-rag,1,4.13,0.0,0.3178,0.5556,0.4,0.7586,0.5238,90,0
Heart,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,11235,Text,Few-shot-rag,1,4.13,0.0,0.3173,0.6111,0.4444,0.8276,0.5783,90,0
Heart,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,16180,Text,Few-shot-rag,1,4.13,0.0,0.3174,0.5333,0.386,0.7586,0.5116,90,0
Heart,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,27182,Text,Few-shot-rag,2,4.13,0.0,0.3449,0.6,0.4314,0.7586,0.55,90,0
Heart,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,11235,Text,Few-shot-rag,2,4.13,0.0,0.3449,0.6667,0.4909,0.931,0.6429,90,0
Heart,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,16180,Text,Few-shot-rag,2,4.13,0.0,0.3451,0.5778,0.4151,0.7586,0.5366,90,0
Heart,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,27182,Text,Few-shot-rag,4,4.13,0.0,0.4239,0.6556,0.4792,0.7931,0.5974,90,0
Heart,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,11235,Text,Few-shot-rag,4,4.13,0.0,0.424,0.6889,0.5102,0.8621,0.641,90,0
Heart,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,16180,Text,Few-shot-rag,4,4.13,0.0,0.4241,0.5667,0.4074,0.7586,0.5301,90,0
